_id,NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
1,1000000001,船橋小学校,フナバシショウガッコウ,千葉県船橋市本町4-17-20,"",35.700025,139.987886,"",047−422−8118,"",122041,千葉県,船橋市,1,1,,1,,1,1,1,1,"2,054人","","",""
2,1000000002,船橋小学校（２階体育館）,フナバシショウガッコウ（ニカイタイイクカン）,千葉県船橋市本町4-17-20,"",35.700025,139.987886,"",047−422−8118,"",122041,千葉県,船橋市,,,,,1,,,,,715人,"","",""
3,1000000003,湊町小学校,ミナトチョウショウガッコウ,千葉県船橋市湊町1-16-5,"",35.692994,139.987237,"",047−431−4781,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"5,586人","","",""
4,1000000004,湊町小学校（校舎屋上）,ミナトチョウショウガッコウ（コウシャオクジョウ）,千葉県船橋市湊町1-16-5,"",35.692994,139.987237,"",047−431−4781,"",122041,千葉県,船橋市,,,,,1,,,,,"1,483人","","",""
5,1000000005,南本町小学校,ミナミホンチョウショウガッコウ,千葉県船橋市栄町1-7-1,"",35.694297,139.976026,"",047−433−1864,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"3,266人","","",""
6,1000000006,南本町小学校（校舎屋上）,ミナミホンチョウショウガッコウ（コウシャオクジョウ）,千葉県船橋市栄町1-7-1,"",35.694297,139.976026,"",047−433−1864,"",122041,千葉県,船橋市,,,,,1,,,,,"1,518人","","",""
7,1000000007,宮本小学校,ミヤモトショウガッコウ,千葉県船橋市宮本7-10-1,"",35.693826,139.995847,"",047−422−6187,"",122041,千葉県,船橋市,1,1,1,1,1,1,1,1,1,"3,928人","","",""
8,1000000008,若松小学校,ワカマツショウガッコウ,千葉県船橋市若松3-2-4,"",35.676785,139.995203,"",047−434−6925,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"5,276人","","",""
9,1000000009,若松小学校（校舎屋上）,ワカマツショウガッコウ（コウシャオクジョウ）,千葉県船橋市若松3-2-4,"",35.676785,139.995203,"",047−434−6925,"",122041,千葉県,船橋市,,,,,1,,,,,"1,447人","","",""
10,1000000010,峰台小学校,ミネダイショウガッコウ,千葉県船橋市宮本6-33-1,"",35.699446,139.996882,"",047−422−8124,"",122041,千葉県,船橋市,1,,1,1,,1,1,1,1,"3,631人","","",""
11,1000000011,市場小学校,イチバショウガッコウ,千葉県船橋市市場1-5-1,"",35.701567,139.991936,"",047−424−6531,"",122041,千葉県,船橋市,,1,,1,,1,,1,1,"2,610人","","",""
12,1000000012,海神小学校,カイジンショウガッコウ,千葉県船橋市海神2-6-5,"",35.703345,139.979464,"",047−431−2551,"",122041,千葉県,船橋市,1,1,,1,1,1,1,1,1,"2,268人","","",""
13,1000000013,西海神小学校,ニシカイジンショウガッコウ,千葉県船橋市海神5-19-36,"",35.709509,139.96881,"",047−431−0265,"",122041,千葉県,船橋市,1,1,1,1,1,1,,1,1,"3,795人","","",""
