_id,NO,種別,施設名,住所
1,1,宿泊可能避難所,船橋市三山市民センター,千葉県船橋市三山8-19-1
2,2,福祉避難所,船橋市三山市民センター（福祉避難所）,千葉県船橋市三山8-19-1
3,3,宿泊可能避難所,船橋市勤労市民センター,千葉県船橋市本町4-19-6
4,4,宿泊可能避難所,船橋市海神公民館,千葉県船橋市海神6-3-36
5,5,福祉避難所,船橋市海神公民館（福祉避難所）,千葉県船橋市海神6-3-36
6,6,宿泊可能避難所,船橋市総合体育館,千葉県船橋市習志野台7-5-1
7,7,宿泊可能避難所,船橋市立咲が丘小学校,千葉県船橋市咲が丘1-22-1
8,8,宿泊可能避難所,船橋市立若松小学校,千葉県船橋市若松3-2-4
9,9,宿泊可能避難所,船橋市立旭中学校,千葉県船橋市旭町2-23-1
10,10,宿泊可能避難所,船橋市立夏見台小学校,千葉県船橋市夏見台2-12-1
11,11,宿泊可能避難所,船橋市立海神小学校,千葉県船橋市海神2-6-5
12,12,宿泊可能避難所,船橋市立海神中学校,千葉県船橋市海神4-27-1
13,13,宿泊可能避難所,船橋市立海神南小学校,千葉県船橋市海神町南1-1510
14,14,宿泊可能避難所,船橋市立葛飾小学校,千葉県船橋市印内1-2-1
15,15,宿泊可能避難所,船橋市立葛飾中学校,千葉県船橋市印内1-5-1
16,16,宿泊可能避難所,船橋市立丸山小学校,千葉県船橋市丸山4-43-1
17,17,宿泊可能避難所,船橋市立宮本小学校,千葉県船橋市宮本7-10-1
18,18,宿泊可能避難所,船橋市立宮本中学校,千葉県船橋市東船橋7-8-1
19,19,宿泊可能避難所,船橋市立金杉小学校,千葉県船橋市金杉8-10-1
20,20,宿泊可能避難所,船橋市立金杉台小学校,千葉県船橋市金杉台2-1-7
21,21,宿泊可能避難所,御滝中学校金杉台武道室,千葉県船橋市金杉台1-2-18
22,22,宿泊可能避難所,船橋市立古和釜小学校,千葉県船橋市松が丘3-42-1
23,23,宿泊可能避難所,船橋市立古和釜中学校,千葉県船橋市松が丘3-69-1
24,24,宿泊可能避難所,船橋市立御滝中学校,千葉県船橋市金杉6-5-1
25,25,宿泊可能避難所,船橋市立行田西小学校,千葉県船橋市行田3-4-1
26,26,宿泊可能避難所,船橋市立行田中学校,千葉県船橋市行田3-6-1
27,27,宿泊可能避難所,船橋市立行田東小学校,千葉県船橋市行田2-4-1
28,28,宿泊可能避難所,船橋市立高郷小学校,千葉県船橋市西習志野1-47-1
29,29,宿泊可能避難所,船橋市立高根小学校,千葉県船橋市高根町2895
30,30,宿泊可能避難所,船橋市立船橋特別支援学校高根台校舎,千葉県船橋市高根台2-1-1
31,31,福祉避難所,船橋市立船橋特別支援学校高根台校舎（福祉避難所）,千葉県船橋市高根台2-1-1
32,32,宿泊可能避難所,船橋市立高根台第三小学校,千葉県船橋市高根台1-4-1
33,33,宿泊可能避難所,船橋市立高根台第二小学校,千葉県船橋市高根台5-2-1
34,34,宿泊可能避難所,船橋市立高根台中学校,千葉県船橋市高根台3-3-1
35,35,宿泊可能避難所,船橋市立高根中学校,千葉県船橋市新高根1-17-2
36,36,宿泊可能避難所,船橋市立高根東小学校,千葉県船橋市新高根1-7-1
37,37,宿泊可能避難所,船橋市立三咲小学校,千葉県船橋市二和東5-39-1
38,38,宿泊可能避難所,船橋市立三山小学校,千葉県船橋市三山2-42-1
39,39,宿泊可能避難所,船橋市立三山中学校,千葉県船橋市三山6-26-1
40,40,宿泊可能避難所,船橋市立三山東小学校,千葉県船橋市三山6-32-1
41,41,宿泊可能避難所,船橋市立三田中学校,千葉県船橋市田喜野井2-24-1
42,42,宿泊可能避難所,船橋市立市場小学校,千葉県船橋市市場1-5-1
43,43,宿泊可能避難所,船橋市立七林小学校,千葉県船橋市七林町115-13
44,44,宿泊可能避難所,船橋市立七林中学校,千葉県船橋市七林町130
45,45,宿泊可能避難所,船橋市立芝山西小学校,千葉県船橋市芝山2-4-1
46,46,宿泊可能避難所,船橋市立芝山中学校,千葉県船橋市芝山1-40-11
47,47,宿泊可能避難所,船橋市立芝山東小学校,千葉県船橋市芝山3-19-1
48,48,宿泊可能避難所,船橋市立若松中学校,千葉県船橋市若松3-2-3
49,49,宿泊可能避難所,船橋市立習志野台第一小学校,千葉県船橋市習志野台2-51-1
50,50,宿泊可能避難所,船橋市立習志野台第二小学校,千葉県船橋市習志野台5-43-1
51,51,宿泊可能避難所,船橋市立習志野台中学校,千葉県船橋市習志野台6-23-1
52,52,宿泊可能避難所,船橋市立小栗原小学校,千葉県船橋市本中山3-16-12
53,53,宿泊可能避難所,船橋市立小室小学校,千葉県船橋市小室町899
54,54,宿泊可能避難所,船橋市立小室中学校,千葉県船橋市小室町898
55,55,宿泊可能避難所,船橋市立西海神小学校,千葉県船橋市海神5-19-36
56,56,宿泊可能避難所,船橋市立船橋小学校,千葉県船橋市本町4-17-20
57,57,宿泊可能避難所,船橋市立船橋中学校,千葉県船橋市夏見2-11-1
58,58,宿泊可能避難所,船橋市立前原小学校,千葉県船橋市前原西2-28-1
59,59,宿泊可能避難所,船橋市立前原中学校,千葉県船橋市中野木2-33-1
60,60,宿泊可能避難所,船橋市立大穴小学校,千葉県船橋市大穴南2-7-1
61,61,宿泊可能避難所,船橋市立大穴中学校,千葉県船橋市大穴南3-19-2
62,62,宿泊可能避難所,船橋市立大穴北小学校,千葉県船橋市大穴北1-7-1
63,63,宿泊可能避難所,船橋市立中野木小学校,千葉県船橋市中野木2-19-1
64,64,宿泊可能避難所,船橋市立塚田小学校,千葉県船橋市前貝塚町600
65,65,宿泊可能避難所,船橋市立塚田南小学校,千葉県船橋市行田1-50-1
66,66,宿泊可能避難所,船橋市立坪井小学校,千葉県船橋市坪井町747-1
67,67,宿泊可能避難所,船橋市立坪井中学校,千葉県船橋市坪井東1-24-1
68,68,宿泊可能避難所,船橋市立田喜野井小学校,千葉県船橋市田喜野井4-33-1
69,69,宿泊可能避難所,船橋市立南本町小学校,千葉県船橋市栄町1-7-1
70,70,宿泊可能避難所,船橋市立二宮小学校,千葉県船橋市前原東5-9-3
71,71,宿泊可能避難所,船橋市立二宮中学校,千葉県船橋市滝台1-2-1
72,72,宿泊可能避難所,船橋市立二和小学校,千葉県船橋市二和東1-9-11
73,73,宿泊可能避難所,船橋市立八栄小学校,千葉県船橋市夏見5-27-1
74,74,宿泊可能避難所,船橋市立八木が谷小学校,千葉県船橋市八木が谷2-3-1
75,75,宿泊可能避難所,船橋市立八木が谷中学校,千葉県船橋市八木が谷2-9-1
76,76,宿泊可能避難所,船橋市立八木が谷北小学校,千葉県船橋市八木が谷4-13-1
77,77,宿泊可能避難所,船橋市立飯山満小学校,千葉県船橋市飯山満町3-1394-3
78,78,宿泊可能避難所,船橋市立飯山満中学校,千葉県船橋市飯山満町1-946-1
79,79,宿泊可能避難所,船橋市立飯山満南小学校,千葉県船橋市飯山満町1-954-4
80,80,宿泊可能避難所,船橋市立峰台小学校,千葉県船橋市宮本6-33-1
81,81,宿泊可能避難所,船橋市立法典小学校,千葉県船橋市藤原5-2-1
